Node1	Node2	Pvalue	Cor	CorrB	CorRange
Otu000006_Pseudomonas	Otu000002_Sphingomonas	0.0099	0.4682	Positive	Strong
Otu000030_Aeromicrobium	Otu000002_Sphingomonas	0.0099	0.4284	Positive	Strong
Otu000033_Aureimonas	Otu000002_Sphingomonas	0.0099	0.4687	Positive	Strong
Otu000034_Micromonosporaceae_unclassified	Otu000002_Sphingomonas	0.0099	-0.4193	Negative	Strong
Otu000070_Microbacteriaceae_unclassified	Otu000002_Sphingomonas	0.0099	0.4117	Positive	Strong
Otu000072_Sphingomonas	Otu000002_Sphingomonas	0.0099	0.4586	Positive	Strong
Otu000198_Clavibacter	Otu000002_Sphingomonas	0.0099	0.4578	Positive	Strong
Otu000278_Oxalobacteraceae_unclassified	Otu000002_Sphingomonas	0.0099	0.4655	Positive	Strong
Otu000015_Sphingomonas	Otu000003_Methylobacterium.Methylorubrum	0.0099	0.5999	Positive	Strong
Otu000016_Methylobacterium-Methylorubrum	Otu000003_Methylobacterium.Methylorubrum	0.0099	0.6461	Positive	Strong
Otu000033_Aureimonas	Otu000003_Methylobacterium.Methylorubrum	0.0099	0.4603	Positive	Strong
Otu000005_Pseudomonas	Otu000004_Duganella	0.0099	0.5592	Positive	Strong
Otu000006_Pseudomonas	Otu000004_Duganella	0.0099	0.4379	Positive	Strong
Otu000014_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Otu000004_Duganella	0.0099	0.567	Positive	Strong
Otu000017_Oxalobacteraceae_unclassified	Otu000004_Duganella	0.0099	0.6464	Positive	Strong
Otu000020_Oxalobacteraceae_unclassified	Otu000004_Duganella	0.0099	0.5978	Positive	Strong
Otu000042_Marmoricola	Otu000004_Duganella	0.0099	-0.4859	Negative	Strong
Otu000045_Solirubrobacter	Otu000004_Duganella	0.0099	-0.4206	Negative	Strong
Otu000047_Oxalobacteraceae_unclassified	Otu000004_Duganella	0.0099	0.6744	Positive	Strong
Otu000051_Nakamurella	Otu000004_Duganella	0.0099	-0.4736	Negative	Strong
Otu000054_Blastococcus	Otu000004_Duganella	0.0099	-0.477	Negative	Strong
Otu000061_Sphingomonas	Otu000004_Duganella	0.0099	-0.4108	Negative	Strong
Otu000067_Nocardioides	Otu000004_Duganella	0.0099	-0.4588	Negative	Strong
Otu000069_Solirubrobacter	Otu000004_Duganella	0.0099	-0.4082	Negative	Strong
