#OTU ID	S324	S164	S400	S346	S145	S568	S389	S459	S566	S579	S532	S332	S119	S147	S112	S169	S325	S105	S355	S165	S55	S229	S116	S58	S176	S507	S490	S565	S161	S341	S511	S571	S92	S354	S557	S174	S71	S113	S166	S533	S580	S168	S554	S516	S100	S508	S336	S276	S267	S111	S638	S647	S668	S196	S210	S632	S76	S436	S603	S683	S21	S454	S644	S678	S456	S425	S642	S599	S687	S674	S433	S320	S653	S663	S648	S423	S303	S444	S662	S288	S596	S435	S602	S637	S80	S260	S37	S90	S453	S428	S438	S701	S645	S604	S286	S608	S609	S698	S643	S685	S652
Otu000002_Sphingomonas	879	4410	206	230	45	2654	18878	714	458	1038	64	0	4427	1075	75	849	2082	29	6234	4722	780	31	3011	593	1480	60	910	10816	20	162	3327	2396	14498	3012	9499	2823	1948	40	1451	118	1203	1287	6238	6936	508	127	264	7015	1	6	297	1304	2285	1575	2689	82	48	160	22	507	57	140	634	1653	77	145	93	172	350	2012	141	453	478	802	3653	1486	435	886	496	710	1717	397	338	104	266	761	457	1709	374	130	257	990	541	123	107	0	282	380	274	899	1868
Otu000003_Methylobacterium-Methylorubrum	1632	1123	4	179	148	136	968	2418	3	38	13	503	1005	35	183	458	382	0	48	217	251	111	44	146	190	166	361	175	52	60	37	69	160	53	79	2125	3020	203	686	6	215	259	35	37	172	97	516	787	291	9	566	73	242	685	1468	81	241	52	27	89	309	197	304	411	133	279	178	92	90	396	41	221	191	130	111	308	0	191	104	154	29	88	126	360	354	237	308	305	199	373	150	425	92	115	176	43	35	85	263	442	82
Otu000004_Duganella	22	82	32232	1363	2960	8759	1091	77	8	2664	19521	39	7061	11	1256	12	2522	3	984	366	10551	1239	1167	9094	1003	11554	199	2	65	625	970	7086	38	220	1809	348	586	777	148	6585	177	619	3041	23	7	36	5	4	12	6	30	19	224	27	7	30	85	5	188	76	18	33	78	24	30	35	21	142	9	115	15	30	0	75	163	101	41	7	383	0	168	28	35	198	3	0	45	9	8	15	4	33	217	43	0	154	514	19	306	12	7
Otu000005_Pseudomonas	5	1087	0	259	134	214	1157	291	3	14513	120	136	71	58	18412	89	736	1	4582	3945	1073	316	395	36	8117	9	347	83	9	1645	996	480	0	19	381	81	22	355	326	2985	5155	19	234	48	6	29	325	11	226	3	17	4	18	61	97	27	4199	7	723	34	12	29	69	37	26	19	19	4	31	313	59	79	31	2	148	519	21	68	80	0	184	9	31	23	1	3	198	46	8	11	11	152	121	69	60	6	23	93	39	30	7
Otu000006_Pseudomonas	20	7691	184	1	21187	415	260	528	23813	1457	13	0	2672	19466	1	14861	2	0	89	6350	89	36	1055	1506	258	49	8062	665	15227	1	1904	2811	37	25	610	240	12	1	1862	9	2825	7628	118	5513	62	2	36	2140	335	380	0	0	102	27	5	0	5	0	2	0	0	5	24	25	0	65	0	0	135	802	0	0	0	2346	52	0	0	0	362	0	1	0	0	0	7	0	223	0	1	14	0	230	10	1	0	0	457	168	0	0	1
Otu000009_Flavobacterium	678	2096	145	1969	0	5556	378	117	6	134	237	809	610	6	103	1492	0	0	25	150	232	1731	2059	561	0	3	1123	0	28	4778	29	75	0	0	10	4	1011	5	731	33	488	131	141	4	6	406	106	6	0	0	442	108	165	13	105	67	292	72	1119	68	92	137	60	37	67	382	531	21	152	577	163	43	51	382	43	594	0	106	65	19	30	35	4	575	44	139	54	0	41	207	7	137	43	115	214	17	2225	248	564	2	8
Otu000010_Brevundimonas	546	1480	21	123	12	1334	294	1238	2	45	13	20	56	43	1	438	158	2	164	187	54	227	633	24	1096	127	168	245	5	230	133	421	5	946	170	226	46	7	444	51	100	335	166	5	117	1050	390	30	109	6	128	276	129	336	190	53	216	143	55	59	186	86	76	92	88	190	104	47	355	127	229	120	136	287	205	488	48	359	100	39	70	161	38	106	104	125	59	38	64	114	911	120	69	130	177	73	68	59	143	66	73
Otu000011_Rathayibacter	0	84	7	46	18	199	0	116	0	282	2	1225	1178	1098	72	351	0	0	96	176	263	10	92	100	7	1	51	82	12	14	2778	9	17	282	147	1	21	18	309	2	1564	454	114	22	0	0	92	160	0	0	2	117	189	21	128	1	44	43	26	70	62	45	313	542	79	47	9	53	136	1078	113	126	44	321	350	371	0	9	119	102	600	55	149	11	2	6	11	138	30	81	63	270	287	167	13	12	86	518	14	256	22
Otu000012_Buchnera	1	0	0	6663	1	0	0	0	0	0	0	0	0	0	0	0	0	19684	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	10980	0	0	0	0	0	0	6177	0	0	0	0	10327	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1434	4	0	0	0	0	0	0	0	0	10	0	0	0	0
Otu000013_Oxalobacteraceae_unclassified	554	471	3	1877	0	286	9	164	0	5	612	23	231	0	539	46	451	0	5	39	9	3	139	41	78	62	173	0	1	855	9	16	0	5	5	7	61	5	159	250	25	14	93	3	397	359	16	2	0	3	63	181	440	44	13	82	49	67	54	297	51	127	127	152	9	199	53	821	553	31	215	195	35	193	23	219	0	60	124	35	16	142	302	111	16	59	52	29	24	91	63	75	73	66	30	15	142	39	54	6	211
Otu000014_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	82	1097	3	130	90	1143	378	3117	0	663	460	518	422	107	0	249	231	0	845	130	759	169	419	1455	426	277	468	91	189	333	28	215	17	4162	221	0	2	0	2940	550	5	93	297	0	3497	1388	0	0	0	1	26	5	6	8	10	0	0	12	1	8	0	106	31	55	3	30	20	3	1	13	5	9	6	108	18	67	0	10	143	0	14	15	0	11	14	0	9	6	0	6	0	17	27	19	0	0	66	3	5	1	3
Otu000015_Sphingomonas	355	109	7	27	88	164	36	284	48	14	6	1372	9	9	20	48	429	0	23	20	20	83	27	200	82	60	137	23	8	9	3	26	11	43	53	236	102	123	64	1	13	33	16	3	264	57	158	53	200	253	458	78	35	510	204	42	136	8	5	70	193	71	153	238	46	11	79	28	39	79	57	50	92	53	62	135	0	55	19	41	50	45	28	136	6	46	145	325	143	39	22	69	84	49	55	29	26	7	146	48	51
Otu000016_Methylobacterium-Methylorubrum	272	29	0	16	506	31	117	127	0	32	3	1	41	2	58	83	1047	0	6	5	239	15	9	30	122	10	83	142	2	11	45	28	54	6	498	956	172	14	131	5	55	45	40	3	4	6	772	71	769	8	88	7	317	100	467	22	36	6	21	26	162	17	97	49	32	19	24	57	30	68	5	101	46	19	83	64	0	29	13	28	68	6	40	20	32	21	202	51	120	17	38	49	16	86	68	25	5	7	48	69	29
Otu000017_Oxalobacteraceae_unclassified	54	158	58	1463	33	338	200	65	10	107	268	0	1249	45	41	48	1270	0	1926	782	996	35	27	24	236	80	15	0	35	1942	2686	123	18	157	52	48	153	16	168	176	61	307	266	5	10	1979	274	0	0	0	32	26	44	12	21	48	112	30	50	54	35	23	85	51	13	48	33	62	21	86	51	7	9	22	66	163	0	54	65	0	33	53	36	69	0	10	59	2	20	30	18	13	74	135	46	70	9	35	130	20	18
Otu000018_Comamonadaceae_unclassified	863	553	3	328	126	225	47	45	51	51	40	51	759	53	1	281	6	54	7	69	8	277	154	16	141	121	237	97	0	49	22	21	5	60	73	2	43	6	198	65	48	83	464	3	29	371	346	21	0	0	75	111	127	112	218	21	126	102	14	125	101	59	239	148	78	110	53	47	91	68	126	126	54	84	140	97	1	157	63	14	327	97	102	80	18	28	118	40	34	85	66	63	151	22	52	37	41	39	50	136	69
